pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_rade
11 Com,b,Radial Velocity,326.03000000,1.290000,0.231000,19.40000,,,,185.179276,17.792868,110.62,4.740,4742.00,2.70,19.50,HD 107383,HIP 60202,
11 UMi,b,Radial Velocity,516.22000000,1.540000,0.080000,10.50000,,,,229.274536,71.823898,119.47,5.016,4340.00,1.80,24.08,HD 136726,HIP 74793,
14 And,b,Radial Velocity,185.84000000,0.830000,0.000000,4.80000,,,,352.822571,39.236198,76.39,5.220,4813.00,2.20,11.00,HD 221345,HIP 116076,
14 Her,b,Radial Velocity,1773.40000000,2.770000,0.369000,4.64000,,,,242.601303,43.817646,18.15,6.605,5311.00,0.90,,HD 145675,HIP 79248,
16 Cyg B,b,Radial Velocity,798.50000000,1.681000,0.681000,1.68000,,,,295.466553,50.517525,21.41,6.200,5674.00,0.99,1.16,HD 186427,HIP 96901,
18 Del,b,Radial Velocity,993.30000000,2.600000,0.080000,10.30000,,,,314.608063,10.839286,73.10,5.506,4979.00,2.30,8.50,HD 199665,HIP 103527,
1RXS1609,b,Imaging,,330.000000,,8.00000,,,,242.376268,-21.083036,,,,,,,,
24 Sex,b,Radial Velocity,452.80000000,1.333000,0.090000,1.99000,,,,155.868210,-0.902244,74.79,6.441,5098.00,1.54,4.90,HD 90043,HIP 50887,
24 Sex,c,Radial Velocity,883.00000000,2.080000,0.290000,0.86000,,,,155.868210,-0.902244,74.79,6.441,5098.00,1.54,4.90,HD 90043,HIP 50887,
2M J044144,b,Imaging,,15.000000,,7.50000,,,,70.437073,23.030941,,,,,,,,
2M0746+20,b,Imaging,4640.00000000,,0.487000,31.42000,,138.200,,116.677345,20.008940,,,,,,,,
2M1207,b,Imaging,,41.000000,,4.00000,,,,181.889447,-39.548332,,,,,,,,16.813
2M2140+16,b,Imaging,7340.00000000,,0.260000,20.95000,,46.200,,325.122162,16.421759,,,,,,,,
2M2206-20,b,Imaging,8686.00000000,,0.000000,31.42000,,44.300,,331.595001,-20.784971,,,,,,,,
30 Ari B,b,Radial Velocity,335.10000000,0.995000,0.289000,9.88000,,,,39.252182,24.647223,40.13,6.455,6152.00,1.16,1.13,HD 16246,HIP 12189,
4 Uma,b,Radial Velocity,269.30000000,0.870000,0.432000,7.10000,,,,130.053406,64.327934,77.40,4.610,4415.00,1.23,18.11,HD 73108,HIP 42527,
42 Dra,b,Radial Velocity,479.10000000,1.190000,0.380000,3.88000,,,,276.496399,65.563484,97.28,4.820,4200.00,0.98,22.03,HD 170693,HIP 90344,
47 Uma,b,Radial Velocity,1078.00000000,2.100000,0.032000,2.53000,,,,164.866562,40.430256,14.08,5.050,5882.00,1.08,1.23,HD 95128,HIP 53721,
47 Uma,c,Radial Velocity,2391.00000000,3.600000,0.098000,0.54000,,,,164.866562,40.430256,14.08,5.050,5882.00,1.08,1.23,HD 95128,HIP 53721,
47 Uma,d,Radial Velocity,14002.00000000,11.600000,0.160000,1.64000,,,,164.866562,40.430256,14.08,5.050,5882.00,1.08,1.23,HD 95128,HIP 53721,
51 Peg,b,Radial Velocity,4.23078500,0.052700,0.013000,0.47200,,,,344.366577,20.768833,15.36,5.500,5787.00,1.09,1.20,HD 217014,HIP 113357,
55 Cnc,b,Radial Velocity,14.65162000,0.115000,0.014000,0.82400,,,,133.149216,28.330818,12.53,5.938,5196.00,0.90,0.94,HD 75732,HIP 43587,
55 Cnc,c,Radial Velocity,44.34460000,0.240000,0.086000,0.16900,,,,133.149216,28.330818,12.53,5.938,5196.00,0.90,0.94,HD 75732,HIP 43587,
55 Cnc,d,Radial Velocity,5218.00000000,5.770000,0.025000,3.83500,,,,133.149216,28.330818,12.53,5.938,5196.00,0.90,0.94,HD 75732,HIP 43587,
55 Cnc,e,Transit,0.73654490,0.015830,,0.02700,5.90000,90.000,,133.149216,28.330818,12.53,5.938,5196.00,0.90,0.94,HD 75732,HIP 43587,2.000
55 Cnc,f,Radial Velocity,260.00000000,0.781000,0.200000,0.14400,,,,133.149216,28.330818,12.53,5.938,5196.00,0.90,0.94,HD 75732,HIP 43587,
6 Lyn,b,Radial Velocity,874.77400000,2.180000,0.059000,2.21000,,,,97.696281,58.162632,56.95,5.880,4978.00,1.82,5.20,HD 45410,HIP 31039,
61 Vir,b,Radial Velocity,4.21500000,0.050201,0.120000,0.01600,,,,199.601318,-18.311195,8.52,4.740,5577.00,0.94,0.98,HD 115617,HIP 64924,
61 Vir,c,Radial Velocity,38.02100000,0.217500,0.140000,0.05730,,,,199.601318,-18.311195,8.52,4.740,5577.00,0.94,0.98,HD 115617,HIP 64924,
