NAME,R,A,PER,ORBREF,ORBURL,FIRSTREF,FIRSTURL,DISCMETH,STAR,RSTAR,NCOMP,TEFF,JSNAME,EPEURL
HD 142 b,0,1.0429173708,350.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2002,http://adsabs.harvard.edu/abs/2002ApJ...571..528T,RV,HD 142,1.5120983124,1,6248.6000976562,HD 142,http://exoplanet.eu/star.php?st=HD+142
WASP-44 b,12.778237872981672,0.0347371288,2.4238039,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,Transit,WASP-44,0.9269999862,1,5410,WASP-44,http://exoplanet.eu/star.php?st=WASP-44
WASP-32 b,13.226596674036154,0.0393929109,2.718659,Maxted 2010,http://adsabs.harvard.edu/abs/2010PASP..122.1465M,Maxted 2010,http://adsabs.harvard.edu/abs/2010PASP..122.1465M,Transit,WASP-32,1.1100000143,1,6100,WASP-32,http://exoplanet.eu/star.php?st=WASP-32
HD 1237 b,0,0.4946680665,133.71001,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,RV,HD 1237,0.8580108285,1,5536,GJ 3021,http://exoplanet.eu/star.php?st=GJ+3021
WASP-26 b,14.795855153310546,0.0399686471,2.7566,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,Transit,WASP-26,1.3400000334,1,5059,WASP-26,http://exoplanet.eu/star.php?st=WASP-26
HD 1461 b,,0.0635201558,5.7727,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1492R,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1492R,RV,HD 1461,1.1255302429,1,5765,HD 1461,http://exoplanet.eu/star.php?st=HD+1461
HD 1502 b,,1.311198473,431.8,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV,HD 1502,3.9450490475,1,5049,HD 1502,http://exoplanet.eu/star.php?st=HD+1502
WASP-1 b,16.992815151274016,0.0385202914,2.5199449,Simpson 2011,http://adsabs.harvard.edu/abs/2011MNRAS.414.3023S,Collier-Cameron 2007,http://adsabs.harvard.edu/abs/2007MNRAS.375..951C,Transit,WASP-1,1.5169999599,1,6110,WASP-1,http://exoplanet.eu/star.php?st=WASP-1
WASP-45 b,13.002417273508913,0.0405459478,3.1260876,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,Transit,WASP-45,0.9449999928,1,5140,WASP-45,http://exoplanet.eu/star.php?st=WASP-45
HD 1690 b,,1.3264255524,533,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,RV,HD 1690,22.4301280975,1,4393,HD 1690,http://exoplanet.eu/star.php?st=HD+1690
HD 2039 b,0,2.1975512505,1120,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,RV,HD 2039,1.146504879,1,5940.7700195312,HD 2039,http://exoplanet.eu/star.php?st=HD+2039
HIP 2247 b,0,1.3388438225,655.6,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,RV,HIP 2247,1.0726078749,1,4714,BD-17 63,http://exoplanet.eu/star.php?st=BD-17+63
HD 2638 b,0,0.043574322,3.4442,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,RV,HD 2638,1.1427958012,1,5192,HD 2638,http://exoplanet.eu/star.php?st=HD+2638
HAT-P-19 b,12.688565845548673,0.0466408543,4.008778,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Transit,HAT-P-19,0.8199999928,1,4990,HAT-P-19,http://exoplanet.eu/star.php?st=HAT-P-19
HAT-P-16 b,14.448376546647998,0.0413275436,2.77596,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,Transit,HAT-P-16,1.2369999886,1,6158,HAT-P-16,http://exoplanet.eu/star.php?st=HAT-P-16
HD 3651 b,0,0.2947197855,62.218,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...590.1081F,RV,HD 3651,0.9346845746,1,5220.580078125,HD 3651,http://exoplanet.eu/star.php?st=HD+3651
HD 4113 b,0,1.2726619244,526.62,Tamuz 2008,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T,Tamuz 2008,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T,RV,HD 4113,1.0742782354,1,5688,HD 4113,http://exoplanet.eu/star.php?st=HD+4113
HD 4208 b,0,1.6535471678,828,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,RV,HD 4208,0.8765006661,1,5600.169921875,HD 4208,http://exoplanet.eu/star.php?st=HD+4208
HD 4308 b,0,0.1191920266,15.56,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,RV,HD 4308,0.8225903511,1,5695,HD 4308,http://exoplanet.eu/star.php?st=HD+4308
HD 4203 b,0,1.165366292,431.88,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,RV,HD 4203,1.1578342915,1,5701.6899414062,HD 4203,http://exoplanet.eu/star.php?st=HD+4203
